Sentence #,Word,Tag
Sentence: 0,local,O
Sentence: 0,officials,O
Sentence: 0,blamed,O
Sentence: 0,kurdish,O
Sentence: 0,separatists,O
Sentence: 0,.,O
Sentence: 0,amy,B-per
Sentence: 0,katz,I-per
Sentence: 0,narrates,O
Sentence: 0,.,O
Sentence: 0,john,B-per
Sentence: 0,garang,I-per
Sentence: 0,carol,B-per
Sentence: 0,pearson,I-per
Sentence: 0,narrates,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,I-org
Sentence: 0,mil,B-per
Sentence: 0,arcega,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,jeff,B-per
Sentence: 0,swicord,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,mohamed,B-per
Sentence: 0,elbaradei,I-per
Sentence: 0,told,O
Sentence: 0,reporters,O
Sentence: 0,russia,B-geo
Sentence: 0,'s,O
Sentence: 0,foreign,O
Sentence: 0,minister,O
Sentence: 0,made,O
Sentence: 0,similar,O
Sentence: 0,comments,O
Sentence: 0,monday,B-tim
Sentence: 0,.,O
Sentence: 0,many,O
Sentence: 0,mourners,O
Sentence: 0,chanted,O
Sentence: 0,anti-syrian,O
Sentence: 0,slogans,O
Sentence: 0,.,O
Sentence: 0,meanwhile,O
Sentence: 0,",",O
Sentence: 0,violence,O
Sentence: 0,across,O
Sentence: 0,iraq,B-geo
Sentence: 0,continues,O
Sentence: 0,.,O
Sentence: 0,"""",O
Sentence: 0,one,O
Sentence: 0,good,O
Sentence: 0,turn,O
Sentence: 0,deserves,O
Sentence: 0,another,O
Sentence: 0,.,O
Sentence: 1,"""",O
Sentence: 0,thursday,B-tim
Sentence: 0,.,O
Sentence: 0,russia,B-geo
Sentence: 0,backed,O
Sentence: 0,mr.,B-per
Sentence: 1,yushchenko,B-geo
Sentence: 1,'s,O
Sentence: 1,opponent,O
Sentence: 0,five,O
Sentence: 0,workers,O
Sentence: 0,remain,O
Sentence: 0,missing,O
Sentence: 0,.,O
Sentence: 0,ruth,B-per
Sentence: 0,reader,I-per
Sentence: 0,narrates,O
Sentence: 0,.,O
Sentence: 0,neighboring,O
Sentence: 0,russia,B-geo
Sentence: 0,opposes,O
Sentence: 0,georgia,B-geo
Sentence: 0,'s,O
Sentence: 0,nato,B-org
Sentence: 0,membership,O
Sentence: 0,aspirations,O
Sentence: 0,.,O
Sentence: 0,ojedokun,B-geo
Sentence: 0,",",O
Sentence: 0,tuesday,B-tim
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,carolyn,B-per
Sentence: 0,weaver,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,carol,B-per
Sentence: 0,pearson,I-per
Sentence: 0,explains,O
Sentence: 0,.,O
Sentence: 0,fifteen,O
Sentence: 0,dollars,O
Sentence: 0,.,O
Sentence: 0,benin,B-geo
Sentence: 0,'s,O
Sentence: 0,constitution,O
Sentence: 0,grants,O
Sentence: 0,lawmakers,O
Sentence: 0,four-year,O
Sentence: 0,terms,O
Sentence: 0,.,O
Sentence: 0,european,O
Sentence: 0,markets,O
Sentence: 0,also,O
Sentence: 0,posted,O
Sentence: 0,strong,O
Sentence: 0,gains,O
Sentence: 0,.,O
Sentence: 0,murray,B-per
Sentence: 0,ousted,O
Sentence: 0,third-seeded,O
Sentence: 0,american,O
Sentence: 0,ginepri,B-per
Sentence: 0,(,O
Sentence: 0,04-jun,O
Sentence: 0,",",O
Sentence: 0,06-apr,O
Sentence: 0,",",O
Sentence: 0,06-mar,O
Sentence: 0,),O
Sentence: 0,.,O
Sentence: 0,iraq-poverty,B-eve
Sentence: 0,(,O
Sentence: 0,washington,B-geo
Sentence: 0,),O
Sentence: 0,"""",O
Sentence: 0,little,O
Sentence: 0,friends,O
Sentence: 0,may,O
Sentence: 0,prove,O
Sentence: 0,great,O
Sentence: 0,friends,O
Sentence: 0,.,O
Sentence: 1,"""",O
Sentence: 0,also,O
Sentence: 0,tuesday,B-tim
Sentence: 0,",",O
Sentence: 0,two,O
Sentence: 0,rockets,O
Sentence: 0,hit,O
Sentence: 0,central,O
Sentence: 0,kabul,B-geo
Sentence: 0,",",O
Sentence: 0,injuring,O
Sentence: 0,three,O
Sentence: 0,people,O
Sentence: 0,.,O
Sentence: 0,another,O
Sentence: 0,benchmark,O
Sentence: 0,oil,O
Sentence: 0,price,O
Sentence: 0,",",O
Sentence: 0,brent,B-per
Sentence: 0,crude,O
Sentence: 0,",",O
Sentence: 0,fell,O
Sentence: 0,even,O
Sentence: 0,lower,O
Sentence: 0,.,O
Sentence: 0,un,B-org
Sentence: 0,secretary-general,B-per
Sentence: 0,kofi,I-per
Sentence: 0,annan,I-per
Sentence: 0,moodie,B-org
Sentence: 0,next,O
Sentence: 0,faces,O
Sentence: 0,french,B-gpe
Sentence: 0,sixth-seed,O
Sentence: 0,sebastien,B-per
Sentence: 0,grosjean,I-per
Sentence: 0,.,O
Sentence: 0,american,B-org
Sentence: 0,kevin,B-per
Sentence: 0,kim,I-per
Sentence: 0,ousted,O
Sentence: 0,compatriot,O
Sentence: 0,scott,B-per
Sentence: 0,oudsema,I-per
Sentence: 0,",",O
Sentence: 0,06-jan,B-geo
Sentence: 0,",",O
Sentence: 0,06-mar,B-geo
Sentence: 0,.,O
Sentence: 0,dravid,B-org
Sentence: 0,'s,O
Sentence: 0,117-ball,O
Sentence: 0,knock,O
Sentence: 0,contained,O
Sentence: 0,seven,O
Sentence: 0,boundaries,O
Sentence: 0,.,O
Sentence: 0,paige,B-per
Sentence: 0,kollock,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,daimler,B-org
Sentence: 0,announced,O
Sentence: 0,"8,500",O
Sentence: 0,production,O
Sentence: 0,job,O
Sentence: 0,cuts,O
Sentence: 0,last,O
Sentence: 0,year,O
Sentence: 0,.,O
Sentence: 0,mr.,B-per
Sentence: 1,karzai,I-per
Sentence: 1,escaped,O
Sentence: 1,unharmed,O
Sentence: 1,.,O
Sentence: 0,al-qaida,B-org
Sentence: 0,'s,O
Sentence: 0,north,B-geo
Sentence: 0,african,B-gpe
Sentence: 0,wing,O
Sentence: 0,later,O
Sentence: 0,claimed,O
Sentence: 0,responsibility,O
Sentence: 0,.,O
Sentence: 0,george,B-per
Sentence: 0,w.,I-per
Sentence: 1,bush,I-per
Sentence: 0,significant,O
Sentence: 0,informal,O
Sentence: 0,market,O
Sentence: 0,activity,O
Sentence: 0,flourishes,O
Sentence: 0,.,O
Sentence: 0,recep,B-per
Sentence: 0,tayyip,I-per
Sentence: 0,erdogan,I-per
Sentence: 0,dairy,O
Sentence: 0,farming,O
Sentence: 0,supports,O
Sentence: 0,domestic,O
Sentence: 0,consumption,O
Sentence: 0,;,O
Sentence: 0,crops,O
Sentence: 0,furnish,O
Sentence: 0,winter,O
Sentence: 0,fodder,O
Sentence: 0,.,O
Sentence: 0,british,B-gpe
Sentence: 0,authorities,O
Sentence: 0,detained,O
Sentence: 0,23,O
Sentence: 0,people,O
Sentence: 0,last,O
Sentence: 0,week,O
Sentence: 0,.,O
Sentence: 0,jury,O
Sentence: 0,selection,O
Sentence: 0,started,O
Sentence: 0,monday,B-tim
Sentence: 0,.,O
Sentence: 0,elaine,B-per
Sentence: 0,lu,I-per
Sentence: 0,narrates,O
Sentence: 0,.,O
Sentence: 0,authorities,O
Sentence: 0,say,O
Sentence: 0,u.s.,B-geo
Sentence: 1,troops,O
Sentence: 1,supported,O
Sentence: 1,local,O
Sentence: 1,forces,O
Sentence: 1,.,O
Sentence: 0,tibetan,B-gpe
Sentence: 0,leader,O
Sentence: 0,cancels,O
Sentence: 0,foreign,O
Sentence: 0,travel,O
Sentence: 0,.,O
Sentence: 0,gang,O
Sentence: 0,members,O
Sentence: 0,also,O
Sentence: 0,attacked,O
Sentence: 0,police,O
Sentence: 0,stations,O
Sentence: 0,.,O
Sentence: 0,iran,B-geo
Sentence: 0,'s,O
Sentence: 0,newly,O
Sentence: 0,elected,O
Sentence: 0,president,B-per
Sentence: 0,mahmoud,I-per
Sentence: 0,ahmadinejad,I-per
Sentence: 0,japanese,B-gpe
Sentence: 0,tourists,O
Sentence: 0,predominate,O
Sentence: 0,.,O
Sentence: 0,mr.,B-per
Sentence: 1,chen,I-per
Sentence: 1,told,O
Sentence: 1,reporters,O
Sentence: 0,bolton,B-per
Sentence: 0,labeled,O
Sentence: 0,maduro,B-geo
Sentence: 0,'s,O
Sentence: 0,actions,O
Sentence: 0,"""",O
Sentence: 0,propaganda,O
Sentence: 0,.,O
Sentence: 1,"""",O
Sentence: 0,questions,O
Sentence: 0,?,O
Sentence: 0,...,O
Sentence: 0,bermet,B-per
Sentence: 0,akayeva,I-per
Sentence: 0,many,O
Sentence: 0,others,O
Sentence: 0,remain,O
Sentence: 0,missing,O
Sentence: 0,.,O
Sentence: 0,another,O
Sentence: 0,swiss,B-gpe
Sentence: 0,athlete,O
Sentence: 0,",",O
Sentence: 0,daniela,B-per
Sentence: 0,meuli,I-per
Sentence: 0,",",O
Sentence: 0,finished,O
Sentence: 0,third,O
Sentence: 0,.,O
Sentence: 0,near,B-tim
Sentence: 0,baghdad,B-geo
Sentence: 0,",",O
Sentence: 0,separate,O
Sentence: 0,attacks,O
Sentence: 0,killed,O
Sentence: 0,13,O
Sentence: 0,people,O
Sentence: 0,",",O
Sentence: 0,including,O
Sentence: 0,six,O
Sentence: 0,iraqi,B-gpe
Sentence: 0,police,O
Sentence: 0,officers,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,carolyn,B-per
Sentence: 0,presutti,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,lower,O
Sentence: 0,ranking,O
Sentence: 0,employees,O
Sentence: 0,face,O
Sentence: 0,smaller,O
Sentence: 0,cuts,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,jessica,B-per
Sentence: 0,berman,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,nnamdi,B-per
Sentence: 0,moweta,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,london,B-geo
Sentence: 0,prices,O
Sentence: 0,also,O
Sentence: 0,rose,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,chris,B-per
Sentence: 0,simkins,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,carolyn,B-per
Sentence: 0,presutti,I-per
Sentence: 0,explains,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,melinda,B-per
Sentence: 0,smith,I-per
Sentence: 0,explains,O
Sentence: 0,.,O
Sentence: 0,two,O
Sentence: 0,u.s.,B-geo
Sentence: 1,soldiers,O
Sentence: 1,received,O
Sentence: 1,minor,O
Sentence: 1,injuries,O
Sentence: 1,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,deborah,B-per
Sentence: 0,block,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,al-qaida-linked,O
Sentence: 0,insurgents,O
Sentence: 0,claimed,O
Sentence: 0,responsibility,O
Sentence: 0,.,O
Sentence: 0,theyab,B-per
Sentence: 0,escaped,O
Sentence: 0,unhurt,O
Sentence: 0,.,O
Sentence: 0,us,B-org
Sentence: 0,minimum,O
Sentence: 0,wage,O
Sentence: 0,laws,O
Sentence: 0,apply,O
Sentence: 0,.,O
Sentence: 0,officials,O
Sentence: 0,said,O
Sentence: 0,amer,B-per
Sentence: 0,al-enezi,I-per
Sentence: 0,died,O
Sentence: 0,late,O
Sentence: 0,tuesday,B-tim
Sentence: 0,.,O
Sentence: 0,indian,B-gpe
Sentence: 0,investigators,O
Sentence: 0,arrested,O
Sentence: 0,eight,O
Sentence: 0,suspects,O
Sentence: 0,.,O
Sentence: 0,janice,B-per
Sentence: 0,karpinski,I-per
Sentence: 0,harbhajan,B-per
Sentence: 0,singh,I-per
Sentence: 0,finished,O
Sentence: 0,feb-88,O
Sentence: 0,.,O
Sentence: 0,japan,B-geo
Sentence: 0,surrendered,O
Sentence: 0,unconditionally,O
Sentence: 0,shortly,O
Sentence: 0,afterwards,O
Sentence: 0,",",O
Sentence: 0,ending,O
Sentence: 0,world,O
Sentence: 0,war,O
Sentence: 0,two,O
Sentence: 0,.,O
Sentence: 0,nina-maria,B-per
Sentence: 0,potts,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,mr.,B-per
Sentence: 1,peres,I-per
Sentence: 1,supported,O
Sentence: 1,mr.,B-per
Sentence: 2,sharon,I-per
Sentence: 2,'s,O
Sentence: 2,disengagement,O
Sentence: 2,plan,O
Sentence: 2,.,O
Sentence: 0,venezuela,B-geo
Sentence: 0,'s,O
Sentence: 0,citgo,B-org
Sentence: 0,petroleum,I-org
Sentence: 0,corporation,I-org
Sentence: 0,also,O
Sentence: 0,pledged,O
Sentence: 0,$,O
Sentence: 0,1,O
Sentence: 0,million,O
Sentence: 0,towards,O
Sentence: 0,relief,O
Sentence: 0,efforts,O
Sentence: 0,.,O
Sentence: 0,denis,B-per
Sentence: 0,gremelmayr,I-per
Sentence: 0,ousted,O
Sentence: 0,fellow,O
Sentence: 0,german,B-gpe
Sentence: 0,bjorn,B-per
Sentence: 0,phau,I-per
Sentence: 0,",",O
Sentence: 0,06-apr,O
Sentence: 0,",",O
Sentence: 0,06-mar,O
Sentence: 0,.,O
Sentence: 0,mr.,B-per
Sentence: 1,annan,I-per
Sentence: 1,urges,O
Sentence: 1,new,O
Sentence: 1,joint,O
Sentence: 1,action,O
Sentence: 1,",",O
Sentence: 1,including,O
Sentence: 1,tougher,O
Sentence: 1,inspection,O
Sentence: 1,rules,O
Sentence: 1,.,O
Sentence: 0,nature,O
Sentence: 0,exceeds,O
Sentence: 0,nurture,O
Sentence: 0,.,O
Sentence: 0,winds,O
Sentence: 0,reached,O
Sentence: 0,well,O
Sentence: 0,past,O
Sentence: 0,200,O
Sentence: 0,kilometers,O
Sentence: 0,per,O
Sentence: 0,hour,O
Sentence: 0,.,O
Sentence: 0,one,O
Sentence: 0,victim,O
Sentence: 0,remains,O
Sentence: 0,unidentified,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,nathan,B-per
Sentence: 0,king,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,leatherback,O
Sentence: 0,turtles,O
Sentence: 0,fascinate,O
Sentence: 0,ocean,O
Sentence: 0,researchers,O
Sentence: 0,.,O
Sentence: 0,mr.,B-per
Sentence: 1,bush,I-per
Sentence: 1,arrives,O
Sentence: 1,late,O
Sentence: 1,sunday,B-tim
Sentence: 1,.,O
